nombre_repo,url_repo,estrellas,ruta_coincidente,rutas_coincidentes,coincidencias,origen
Azure-Samples/art-voice-agent-accelerator,https://api.github.com/repos/Azure-Samples/art-voice-agent-accelerator,60.0,docs/archive/proposals/specify-integration-proposal.md,docs/archive/proposals/specify-integration-proposal.md,1,gh search code
Azure/APICenter-Portal-Starter,https://api.github.com/repos/Azure/APICenter-Portal-Starter,37.0,.wiki/index.md,.wiki/index.md; .wiki/folder-structure.md,2,gh search code
Azure/autorest.powershell,https://api.github.com/repos/Azure/autorest.powershell,121.0,tests-upgrade/tests-emitter/StorageAction.Management.brown/target/generated/runtime/Nodes/JsonDate.cs,tests-upgrade/tests-emitter/StorageAction.Management.brown/target/generated/runtime/Nodes/JsonDate.cs,1,gh search code
Azure/azure-powershell,https://api.github.com/repos/Azure/azure-powershell,4674.0,src/Compute/Compute/Sync/Upload/UploadOperationMetaData.cs,src/Compute/Compute/Sync/Upload/UploadOperationMetaData.cs; generated/StorageAction/StorageAction.Autorest/generated/runtime/Nodes/JsonDate.cs; generated/NetworkCloud/NetworkCloud.Autorest/generated/runtime/Nodes/JsonDate.cs; generated/Fleet/Fleet.Autorest/generated/runtime/Nodes/JsonDate.cs; generated/Elastic/Elastic.Autorest/generated/runtime/Nodes/JsonDate.cs; generated/ResourceGraph/ResourceGraph.Autorest/generated/runtime/Nodes/JsonDate.cs,6,gh search code
Azure/azure-sdk-for-net,https://api.github.com/repos/Azure/azure-sdk-for-net,5960.0,sdk/ai/Azure.AI.Extensions.OpenAI/src/Generated/Internal/TypeFormatters.cs,sdk/ai/Azure.AI.Extensions.OpenAI/src/Generated/Internal/TypeFormatters.cs,1,gh search code
babalae/bettergi-scripts-list,https://api.github.com/repos/babalae/bettergi-scripts-list,411.0,repo/js/AutoPlan/main.js,repo/js/AutoPlan/main.js,1,gh search code
bbrowning/vllm-spec-kit,https://api.github.com/repos/bbrowning/vllm-spec-kit,1.0,.specify/scripts/bash/create-new-feature.sh,.specify/scripts/bash/create-new-feature.sh,1,gh search code
bdangit/myusage-skill,https://api.github.com/repos/bdangit/myusage-skill,,.claude/commands/speckit.implement.md,.claude/commands/speckit.implement.md,1,gh search code
bethgelab/slow_disentanglement,https://api.github.com/repos/bethgelab/slow_disentanglement,73.0,scripts/evaluate_disentanglement.py,scripts/evaluate_disentanglement.py,1,gh search code
Bezkup/quizzy,https://api.github.com/repos/Bezkup/quizzy,1.0,.specify/templates/tasks-template.md,.specify/templates/tasks-template.md,1,gh search code
bigsmartben/sdd,https://api.github.com/repos/bigsmartben/sdd,,scripts/powershell/setup-plan.ps1,scripts/powershell/setup-plan.ps1,1,gh search code
bilals/lotrec,https://api.github.com/repos/bilals/lotrec,8.0,CLAUDE.md,CLAUDE.md,1,gh search code
BingluCS/CBB,https://api.github.com/repos/BingluCS/CBB,,Application/FerroX/Exec/Examples/inputs_mfis_eb,Application/FerroX/Exec/Examples/inputs_mfis_eb,1,gh search code
Bitspark/slang-editor,https://api.github.com/repos/Bitspark/slang-editor,4.0,src/app/components/blueprint-config-form.ts,src/app/components/blueprint-config-form.ts,1,gh search code
bitwarden/server,https://api.github.com/repos/bitwarden/server,18306.0,src/Infrastructure.EntityFramework/Dirt/Repositories/EventRepository.cs,src/Infrastructure.EntityFramework/Dirt/Repositories/EventRepository.cs,1,gh search code
BlackHacked/spec-kit-template,https://api.github.com/repos/BlackHacked/spec-kit-template,,.cursor/commands/speckit.checklist.md,.cursor/commands/speckit.checklist.md; .cursor/commands/speckit.analyze.md,2,gh search code
boisenoise/skills-collections,https://api.github.com/repos/boisenoise/skills-collections,3.0,skills/antigravity-speckit-updater/SKILL.md,skills/antigravity-speckit-updater/SKILL.md,1,gh search code
BoltDoggy/work,https://api.github.com/repos/BoltDoggy/work,3.0,CLAUDE.md,CLAUDE.md,1,gh search code
bookcasey/harsh,https://api.github.com/repos/bookcasey/harsh,127.0,README.md,README.md,1,gh search code
bosornd/todo,https://api.github.com/repos/bosornd/todo,,DSM.md,DSM.md,1,gh search code
BrainsoupFactory/moment-neural-network,https://api.github.com/repos/BrainsoupFactory/moment-neural-network,12.0,examples/mnist/mnist.py,examples/mnist/mnist.py,1,gh search code
brandon-fox/Meta-Oracle,https://api.github.com/repos/brandon-fox/Meta-Oracle,,.agent/workflows/speckit-tasks.md,.agent/workflows/speckit-tasks.md,1,gh search code
brberis/speckit-tdd-sdd,https://api.github.com/repos/brberis/speckit-tdd-sdd,,src/specify_cli/__init__.py,src/specify_cli/__init__.py,1,gh search code
caiqing/mind-note,https://api.github.com/repos/caiqing/mind-note,4.0,CLAUDE.md,CLAUDE.md; .claude/commands/speckit.constitution.md,2,gh search code
campbellmcgavin/envisionary,https://api.github.com/repos/campbellmcgavin/envisionary,,Envisionary/View/Card/PhotoCard.swift,Envisionary/View/Card/PhotoCard.swift,1,gh search code
canon-yousuf/governor-sindh-it-course,https://api.github.com/repos/canon-yousuf/governor-sindh-it-course,1.0,quarter4/Hackathons/hackathon_one_/.specify/scripts/powershell/create-new-feature.ps1,quarter4/Hackathons/hackathon_one_/.specify/scripts/powershell/create-new-feature.ps1,1,gh search code
CarlosDemetrio/sistema-hydroom-rpg-front-end,https://api.github.com/repos/CarlosDemetrio/sistema-hydroom-rpg-front-end,,.specify/BACKEND_DEBT_IMPROVEMENTS.md,.specify/BACKEND_DEBT_IMPROVEMENTS.md,1,gh search code
CBIIT/nci-webtools-dccps-cedcd,https://api.github.com/repos/CBIIT/nci-webtools-dccps-cedcd,3.0,client/src/components/MortalityForm/MortalityForm.css,client/src/components/MortalityForm/MortalityForm.css,1,gh search code
Ceimon/NemLoginSigning,https://api.github.com/repos/Ceimon/NemLoginSigning,,library/itextsharp-netstandard/src/core/iTextSharp/text/error_messages/en.lng,library/itextsharp-netstandard/src/core/iTextSharp/text/error_messages/en.lng,1,gh search code
Chabana1591/spec-kit-ja,https://api.github.com/repos/Chabana1591/spec-kit-ja,,original/docs/upgrade.md,original/docs/upgrade.md,1,gh search code
channell/Cephei,https://api.github.com/repos/channell/Cephei,38.0,Cephei.XL/Functions/Trbdf2Function.fs,Cephei.XL/Functions/Trbdf2Function.fs,1,gh search code
charlesthobe/chdman,https://api.github.com/repos/charlesthobe/chdman,45.0,src/emu/diimage.cpp,src/emu/diimage.cpp,1,gh search code
chen893/VibePortfolio,https://api.github.com/repos/chen893/VibePortfolio,,.claude/commands-zh/speckit.specify.md,.claude/commands-zh/speckit.specify.md,1,gh search code
CIDRAM/CIDRAM,https://api.github.com/repos/CIDRAM/CIDRAM,113.0,vault/assets/frontend/default/_files.html,vault/assets/frontend/default/_files.html,1,gh search code
claricle/postsvg,https://api.github.com/repos/claricle/postsvg,,docs/api-reference/postsvg-module.adoc,docs/api-reference/postsvg-module.adoc,1,gh search code
Claude-Code-Community-Ireland/claude-code-resources,https://api.github.com/repos/Claude-Code-Community-Ireland/claude-code-resources,7.0,claude-md/frontend/vendoreval4/CLAUDE.md,claude-md/frontend/vendoreval4/CLAUDE.md,1,gh search code
ClaudioSavelli/documentations_DSMLL,https://api.github.com/repos/ClaudioSavelli/documentations_DSMLL,,docs/pandas/_sources/user_guide/reshaping.rst.txt,docs/pandas/_sources/user_guide/reshaping.rst.txt,1,gh search code
ClementG/QualityWaterAlert,https://api.github.com/repos/ClementG/QualityWaterAlert,1.0,.specify/memory/EXECUTIVE_SUMMARY.md,.specify/memory/EXECUTIVE_SUMMARY.md,1,gh search code
CLOCKWORK-TEMPTATION/yarab-we-elnby-thecopy,https://api.github.com/repos/CLOCKWORK-TEMPTATION/yarab-we-elnby-thecopy,,apps/web/src/app/(main)/actorai-arabic/.specify/scripts/powershell/update-agent-context.ps1,apps/web/src/app/(main)/actorai-arabic/.specify/scripts/powershell/update-agent-context.ps1,1,gh search code
cnjn/test,https://api.github.com/repos/cnjn/test,,.cursor/commands/speckit.checklist.md,.cursor/commands/speckit.checklist.md; .cursor/commands/speckit.analyze.md,2,gh search code
cnoe-io/ai-platform-engineering,https://api.github.com/repos/cnoe-io/ai-platform-engineering,328.0,.specify/ARCHITECTURE.md,.specify/ARCHITECTURE.md; docs/docs/development/spec-driven-development.md; .specify/SKILLS.md,3,gh search code
codacy-open-source-projects-scans/jenkins,https://api.github.com/repos/codacy-open-source-projects-scans/jenkins,,war/src/main/webapp/scripts/hudson-behavior.js,war/src/main/webapp/scripts/hudson-behavior.js,1,gh search code
code-father-practise/sion-picture-frontend,https://api.github.com/repos/code-father-practise/sion-picture-frontend,,.specify/.file-hashes,.specify/.file-hashes,1,gh search code
code-onigiri/Github-Copilot-Spec-development,https://api.github.com/repos/code-onigiri/Github-Copilot-Spec-development,,GUIDE.md,GUIDE.md,1,gh search code
CodeGeneration-2020/ai-qa,https://api.github.com/repos/CodeGeneration-2020/ai-qa,,skills/qa.verify-specs.md,skills/qa.verify-specs.md,1,gh search code
codemie-ai/codemie-code,https://api.github.com/repos/codemie-ai/codemie-code,183.0,src/frameworks/plugins/speckit.plugin.ts,src/frameworks/plugins/speckit.plugin.ts,1,gh search code
codervisor/lean-spec-docs,https://api.github.com/repos/codervisor/lean-spec-docs,,docs/guide/migration.mdx,docs/guide/migration.mdx,1,gh search code
coforma/pie-shop,https://api.github.com/repos/coforma/pie-shop,1.0,.specify/WORKFLOW.md,.specify/WORKFLOW.md,1,gh search code
connor-git-yaml/cc-plugin-market,https://api.github.com/repos/connor-git-yaml/cc-plugin-market,3.0,src/cli/commands/prepare.ts,src/cli/commands/prepare.ts; specs/032-rename-speckit-to-spec-driver/plan.md; specs/032-rename-speckit-to-spec-driver/data-model.md; plugins/spec-driver/agents/product-research.md,4,gh search code
CoolProp/CoolProp,https://api.github.com/repos/CoolProp/CoolProp,976.0,wrappers/Python/CoolProp/CoolProp.pyx,wrappers/Python/CoolProp/CoolProp.pyx; src/Backends/Helmholtz/TransportRoutines.cpp,2,gh search code
cooneycw/claude-power-pack,https://api.github.com/repos/cooneycw/claude-power-pack,14.0,.claude/commands/evaluate/issue.md,.claude/commands/evaluate/issue.md; lib/cicd/container.py,2,gh search code
cooneycw/codex-power-pack,https://api.github.com/repos/cooneycw/codex-power-pack,,.codex/prompts/spec/help.md,.codex/prompts/spec/help.md,1,gh search code
cooperative-computing-lab/cctools,https://api.github.com/repos/cooperative-computing-lab/cctools,143.0,work_queue/src/bindings/python3/work_queue_example.py,work_queue/src/bindings/python3/work_queue_example.py,1,gh search code
couchbase/docs-couchbase-lite,https://api.github.com/repos/couchbase/docs-couchbase-lite,13.0,modules/swift/pages/p2psync-multipeer.adoc,modules/swift/pages/p2psync-multipeer.adoc,1,gh search code
couchbaselabs/docs-devex,https://api.github.com/repos/couchbaselabs/docs-devex,4.0,modules/n1ql/pages/n1ql-language-reference/transactions.adoc,modules/n1ql/pages/n1ql-language-reference/transactions.adoc,1,gh search code
Covek01/WCF-chatbot,https://api.github.com/repos/Covek01/WCF-chatbot,,docs-main/samples/snippets/visualbasic/VS_Snippets_CLR/conceptual.globalization/vb/dates8.vb,docs-main/samples/snippets/visualbasic/VS_Snippets_CLR/conceptual.globalization/vb/dates8.vb,1,gh search code
cr24osome/spec-kit,https://api.github.com/repos/cr24osome/spec-kit,,docs/upgrade.md,docs/upgrade.md,1,gh search code
cran/funkycells,https://api.github.com/repos/cran/funkycells,,inst/doc/lungcancer.R,inst/doc/lungcancer.R,1,gh search code
cristianfcortes/Hackathon_Keralty_2025,https://api.github.com/repos/cristianfcortes/Hackathon_Keralty_2025,,docs/upgrade.md,docs/upgrade.md,1,gh search code
crossyourfingers/alexxed,https://api.github.com/repos/crossyourfingers/alexxed,,.specify/memory/constitution-gaps.md,.specify/memory/constitution-gaps.md,1,gh search code
csckcac/platform,https://api.github.com/repos/csckcac/platform,2.0,components/wsdl2code/org.wso2.carbon.modules.wsdl2code.ui/src/main/java/org/wso2/carbon/wsdl2code/ui/client/codegen-options.xml,components/wsdl2code/org.wso2.carbon.modules.wsdl2code.ui/src/main/java/org/wso2/carbon/wsdl2code/ui/client/codegen-options.xml,1,gh search code
CwtchMH/Academix,https://api.github.com/repos/CwtchMH/Academix,,.specify/scripts/powershell/update-agent-context.ps1,.specify/scripts/powershell/update-agent-context.ps1,1,gh search code
CwtchMH/edu-chain-block-be,https://api.github.com/repos/CwtchMH/edu-chain-block-be,,.specify/scripts/powershell/update-agent-context.ps1,.specify/scripts/powershell/update-agent-context.ps1,1,gh search code
cyl19970726/Code3,https://api.github.com/repos/cyl19970726/Code3,9.0,workflows/spec-kit-mcp/src/prompts/clarify.ts,workflows/spec-kit-mcp/src/prompts/clarify.ts,1,gh search code
czcorpus/kontext,https://api.github.com/repos/czcorpus/kontext,78.0,cypress/e2e/subcorpora.cy.js,cypress/e2e/subcorpora.cy.js; cypress/e2e/queryHistory.cy.js,2,gh search code
d0whc3r/minecraft-servers,https://api.github.com/repos/d0whc3r/minecraft-servers,,.specify/scripts/bash/create-new-feature.sh,.specify/scripts/bash/create-new-feature.sh,1,gh search code
